id,user_id,last_name,name,adress,phone_number,mail
83,83,Toussaint,Joséphine,"avenue Perrin, 35857 Marie",01 34 02 66 43,alexandria58@pascal.fr
84,84,Dufour,Élise,"1, rue de Meyer, 76788 Charles",+33 1 81 32 43 50,laurencedubois@hardy.fr
85,85,Mercier,Margot,"178, avenue de Marchal, 18670 Sainte Vincent-la-Forêt",+33 (0)5 50 44 05 10,chartierpaulette@guillou.com
86,86,Germain,Christine,"chemin Tanguy, 64218 Ledoux-sur-Mer",02 78 55 79 80,le-gallrene@dbmail.com
87,87,Vincent,Élisabeth,"48, chemin de Benard, 77245 PelletierVille",04 73 13 79 21,josephleblanc@noos.fr
88,88,Pereira,Stéphane,"135, avenue de Le Roux, 68959 HervéVille",+33 2 84 84 30 15,croux@wanadoo.fr
89,89,Cordier,Roger,"72, boulevard de Bonnet, 80291 Fournier",04 46 43 12 02,madeleine40@orange.fr
90,90,Rossi,Émilie,"74, chemin de Delorme, 46362 Pottier",+33 (0)8 05 19 24 60,jbrun@bouygtel.fr
91,91,Giraud,Corinne,"73, chemin Charlotte Julien, 36016 Morvan",08 09 82 89 30,martine79@pons.fr
92,92,Legros,Margot,"541, chemin Weber, 21232 Sainte Margot",0805983248,qgoncalves@sfr.fr
93,93,Rolland,Christiane,"avenue Dufour, 29778 Saint Virginie-sur-Mer",04 66 32 69 29,lamyeric@gmail.com
94,94,Roux,Antoinette,"53, chemin Caroline Michaud, 48860 Gosselin",+33 1 07 68 19 49,xsimon@wanadoo.fr
95,95,Chrétien,Xavier,"18, rue Alix Bailly, 37646 Legrand",+33 (0)6 72 59 29 31,neveurobert@perrin.fr
96,96,Georges,William,"26, chemin de Charles, 06158 Sainte GuillaumeVille",0272152350,imartinez@tele2.fr
97,97,Delahaye,Célina,"88, boulevard de Cordier, 03226 Millet",+33 1 05 99 86 33,guillaume18@yahoo.fr
98,98,Le Roux,Célina,"23, rue Bonnin, 62666 Maurice",+33 2 78 41 60 97,clemence10@labbe.net
99,99,Leduc,Denise,"2, rue Mahe, 54415 Charrier",+33 1 75 20 83 10,emmanuel59@bouygtel.fr
100,100,Loiseau,Marthe,"23, rue Hoarau, 53073 Mahe",05 68 74 84 75,edithhuet@bouygtel.fr
